mp_id,oxidation_states,entry_type
mp-1017510,"{'Mg': 2.0, 'Te': -2.0}",GGA
mp-1017511,{},GGA
mp-1017514,"{'Mg': 2.0, 'Si': 4.0, 'N': -3.0}",GGA
mp-1017516,"{'Mg': 2.0, 'Si': 2.0, 'P': -2.0}",GGA
mp-1017519,"{'Ir': 4.0, 'C': -4.0}",GGA
mp-1017531,{},GGA
mp-1017532,"{'V': 3.0, 'N': -3.0}",GGA
mp-1017533,"{'Y': 3.0, 'N': -3.0}",GGA
mp-1017539,"{'Zn': 2.0, 'O': -2.0}",GGA
mp-1017541,{},GGA
mp-1017545,{},GGA
mp-1017546,"{'Zr': 3.0, 'N': -3.0}",GGA
mp-1017549,"{'Ca': 2.0, 'B': 0.0, 'H': -1.0}",GGA
mp-1017550,"{'Be': 2.0, 'N': -3.0}",GGA
mp-1017551,"{'Bi': 3.0, 'O': -2.0}",GGA
mp-1017552,"{'Bi': 3.0, 'O': -2.0}",GGA
mp-1017555,"{'Cs': 1.0, 'Be': 2.0, 'F': -1.0}",GGA
mp-1017565,"{'In': 3.0, 'Se': -2.0}",GGA
mp-1017567,"{'Hf': 4.0, 'S': -2.0, 'N': -3.0}",GGA
mp-1017591,"{'Ba': 2.0, 'Ru': 4.0, 'O': -2.0}",GGA
mp-10178,"{'Li': 1.0, 'Mg': 2.0, 'P': -3.0}",GGA
mp-1017982,"{'Tl': 3.0, 'N': -3.0}",GGA
mp-1017985,{},GGA
